id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_661007,661007,6610,state_co_1033,rural,"","Alto Erazo- El Nudo-  El Sinai-  El Tobanito-  Estanquillo-  La Argentina-  La Cima-  La Esperanza-  La Esperanza-  La Fría-  La Palma-  La Unión-  Llano Grande-  Minas del Socorro-  Nueva Independencia-  Pital de Combia-  Santana",True
postal_055068,055068,0550,state_co_265,rural,"","",True
postal_524038,524038,5240,state_co_957,rural,"","",True
postal_660004,660004,6600,state_co_1029,urban,"Alcazar de Maraya- Altos de Tanambi- Balcones Villa del Prado- Barajas Central- Barajas I- Barajas II- Belalcázar- Bloques Ciudad Pereira- Bosque de La Salle- Boston- Brasilia- Brisas de Las Américas- Cachipay- Caminos de Maraya- Casas Tulcán- Centenario-","Naranjito",True
postal_540004,540004,5400,state_co_977,urban,"13 de Marzo- Bocono- Caña Fistolo- El Higuerón- Heliópolis- La Alameda- La Isla de La Fantasía- La Quinta- La Unión- Nuebo Escobal- Pamplonita- Prados del Este- Santa Clara- Terranova- Urbanización San Martín- Urbanización San Martín 2- Viejo Escobal- Vil","El Palmar",True
postal_081007,081007,0810,state_co_339,rural,"","",True
postal_704050,704050,7040,state_co_1140,urban,"Avenida Núñez- Betania- Doce de Marzo- La Paz- Las Brisas- Los Cayitos- Nuevo- Paralibio- Pueblo Nuevo- San Antonio- San Mateo- San Pedro- Santa Fé- Santander- Santo Domingo- Urbanización San Antonio","",True
postal_201057,201057,2010,state_co_608,rural,"","Campo Alegre- Chinela-  Dos Brazos-  Hoja Ancha-  La Conquista No 2-  La Luna Sector 1-  La Morrocoya-  Las Tijeras-  Villa Colón",True
postal_850001,850001,8500,state_co_1252,urban,"1 de Mayo- Bello Horizonte- Bicentenario- Bon Habitat- Brisas del Cravo- Caribabare- Dalel Barón- Ejército Nacional- El Alcaravan- El Bosque- El Brosquero- El Centro- El Gaván- El Libertador- El Remanso I- El Salitre- El Yarumo- Juan Pablo- La Amistad- La","",True
postal_522068,522068,5220,state_co_933,rural,"","Capuli de Minas- Las Azogues-  LLano Largo-  Méjico-  Placer-  Ricaurte",True
postal_130015,130015,1300,state_co_350,urban,"Altos de San Isidro- Amberes- Armenia- Bosquecito- Brucelas- El Prado- España- José Antonio Galán- Juan XXIII- Junín- Las Brisas- Los Cerros- Nueva Granada- Nueve de Abril- Nuevo Bosque- Paraguay- Piedra de Bolívar- República de Chile- San Isidro","",True
postal_685517,685517,6855,state_co_1089,rural,"","Los Medios",True
postal_132527,132527,1325,state_co_366,rural,"","",True
postal_687038,687038,6870,state_co_1049,rural,"","ALBANIA",True
postal_201038,201038,2010,state_co_612,rural,"","",True
postal_152429,152429,1524,state_co_397,rural,"","Alejandria- Alpes-  Brisas de Tonce-  Cardoso-  Corales-  Jordan Alto-  Jordan Bajo-  La Esperanza-  Magavita Centro-  Morgui-  Palmar-  Providencia",True
postal_252417,252417,2524,state_co_730,rural,"","BARZALOZA- BERLING-  CAJON-  Callejón-  Casablanca-  COBOS-  Cumaca-  EL HOBAL-  El Portal-  La Apicalá-  LA BALSITA-  La Carrera-  LA PALMITA-  LA SONORA-  La Virginia-  LLano Pozo-  MALACIA-  Manuel Norte-  MANUEL NORTE-  PIAMONTE-  PRESIDENTE-  PUBENZA",True
postal_702037,702037,7020,state_co_1131,rural,"","Granada- La Vivienda-  Numancia-  San José de Las Palmas-  San Mateo",True
