id,code,name
lavish_hr_payroll.cie10_c06,C06,Tumor maligno de otras partes y de las no especificadas de la boca
lavish_hr_payroll.cie10_c07,C07,Tumor maligno de la glandula parotida
lavish_hr_payroll.cie10_c08,C08,Tumor maligno de otras glandulas salivales mayores y de las no especificadas
lavish_hr_payroll.cie10_c09,C09,Tumor maligno de la amigdala
lavish_hr_payroll.cie10_c10,C10,Tumor maligno de la orofaringe
lavish_hr_payroll.cie10_c11,C11,Tumor maligno de la nasofaringe
lavish_hr_payroll.cie10_c12,C12,Tumor maligno del seno piriforme
lavish_hr_payroll.cie10_c13,C13,Tumor maligno de la hipofaringe
lavish_hr_payroll.cie10_c14,C14,Tumor maligno de otros sitios y de los mal definidos del labio de la cavidad bucal y de la faringe
lavish_hr_payroll.cie10_c15,C15,Tumor maligno del esofago
lavish_hr_payroll.cie10_c16,C16,Tumor maligno del estomago
lavish_hr_payroll.cie10_c17,C17,Tumor maligno del intestino delgado
lavish_hr_payroll.cie10_c18,C18,Tumor maligno del colon
lavish_hr_payroll.cie10_c19,C19,Tumor maligno de la union rectosigmoidea
lavish_hr_payroll.cie10_c20,C20,Tumor maligno del recto
lavish_hr_payroll.cie10_c21,C21,Tumor maligno del ano y del conducto anal
lavish_hr_payroll.cie10_c22,C22,Tumor maligno del higado y de las vias biliares intrahepaticas
lavish_hr_payroll.cie10_c23,C23,Tumor maligno de la vesicula biliar
lavish_hr_payroll.cie10_c24,C24,Tumor maligno de otras partes y de las no especificadas de las vias biliares
lavish_hr_payroll.cie10_c25,C25,Tumor maligno del pancreas
lavish_hr_payroll.cie10_d50,D50,Anemias por deficiencia de hierro
lavish_hr_payroll.cie10_d51,D51,Anemia por deficiencia de vitamina B12
lavish_hr_payroll.cie10_d52,D52,Anemia por deficiencia de folatos
lavish_hr_payroll.cie10_d53,D53,Otras anemias nutricionales
lavish_hr_payroll.cie10_d55,D55,Anemia debida a trastornos enzimaticos
lavish_hr_payroll.cie10_d56,D56,Talasemia
lavish_hr_payroll.cie10_d57,D57,Trastornos falciformes
lavish_hr_payroll.cie10_d58,D58,Otras anemias hemoliticas hereditarias
lavish_hr_payroll.cie10_d59,D59,Anemia hemolitica adquirida
lavish_hr_payroll.cie10_d60,D60,Aplasia adquirida exclusiva de la serie roja (eritroblastopenia)
lavish_hr_payroll.cie10_d61,D61,Otras anemias aplasticas
lavish_hr_payroll.cie10_d62,D62,Anemia posthemorragica aguda
lavish_hr_payroll.cie10_d63,D63,Anemia en enfermedades cronicas clasificadas en otra parte
lavish_hr_payroll.cie10_d64,D64,Otras anemias
lavish_hr_payroll.cie10_e10,E10,Diabetes mellitus insulinodependiente
lavish_hr_payroll.cie10_e11,E11,Diabetes mellitus no insulinodependiente
lavish_hr_payroll.cie10_e12,E12,Diabetes mellitus asociada con desnutricion
lavish_hr_payroll.cie10_e13,E13,Otras diabetes mellitus especificadas
lavish_hr_payroll.cie10_e14,E14,Diabetes mellitus no especificada
lavish_hr_payroll.cie10_e66,E66,Obesidad
lavish_hr_payroll.cie10_e78,E78,Trastornos del metabolismo de las lipoproteinas y otras lipidemias
lavish_hr_payroll.cie10_f00,F00,Demencia en la enfermedad de Alzheimer
lavish_hr_payroll.cie10_f01,F01,Demencia vascular
lavish_hr_payroll.cie10_f02,F02,Demencia en otras enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_f03,F03,Demencia sin otra especificacion
lavish_hr_payroll.cie10_f04,F04,Sindrome amnesico organico no inducido por alcohol u otras sustancias psicoactivas
lavish_hr_payroll.cie10_f05,F05,Delirio no inducido por alcohol u otras sustancias psicoactivas
lavish_hr_payroll.cie10_f06,F06,Otros trastornos mentales debidos a lesion y disfuncion cerebral y a enfermedad fisica
lavish_hr_payroll.cie10_f07,F07,Trastornos de la personalidad y del comportamiento debidos a enfermedad lesion y disfuncion cerebral
lavish_hr_payroll.cie10_f09,F09,Trastorno mental organico o sintomatico no especificado
lavish_hr_payroll.cie10_f10,F10,Trastornos mentales y del comportamiento debidos al uso del alcohol
lavish_hr_payroll.cie10_f11,F11,Trastornos mentales y del comportamiento debidos al uso de opioides
lavish_hr_payroll.cie10_f12,F12,Trastornos mentales y del comportamiento debidos al uso de cannabinoides
lavish_hr_payroll.cie10_f13,F13,Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos
lavish_hr_payroll.cie10_f14,F14,Trastornos mentales y del comportamiento debidos al uso de cocaina
lavish_hr_payroll.cie10_f15,F15,Trastornos mentales y del comportamiento debidos al uso de otros estimulantes incluida la cafeina
lavish_hr_payroll.cie10_f16,F16,Trastornos mentales y del comportamiento debidos al uso de alucinogenos
lavish_hr_payroll.cie10_f17,F17,Trastornos mentales y del comportamiento debidos al uso de tabaco
lavish_hr_payroll.cie10_f18,F18,Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles
lavish_hr_payroll.cie10_f19,F19,Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas
lavish_hr_payroll.cie10_f20,F20,Esquizofrenia
lavish_hr_payroll.cie10_f21,F21,Trastorno esquizotipico
lavish_hr_payroll.cie10_f22,F22,Trastornos delirantes persistentes
lavish_hr_payroll.cie10_f23,F23,Trastornos psicoticos agudos y transitorios
lavish_hr_payroll.cie10_f24,F24,Trastorno delirante inducido
lavish_hr_payroll.cie10_f25,F25,Trastornos esquizoafectivos
lavish_hr_payroll.cie10_f28,F28,Otros trastornos psicoticos de origen no organico
lavish_hr_payroll.cie10_f29,F29,Psicosis de origen no organico no especificada
lavish_hr_payroll.cie10_f30,F30,Episodio maniaco
lavish_hr_payroll.cie10_f31,F31,Trastorno afectivo bipolar
lavish_hr_payroll.cie10_f32,F32,Episodio depresivo
lavish_hr_payroll.cie10_f33,F33,Trastorno depresivo recurrente
lavish_hr_payroll.cie10_f34,F34,Trastornos del humor (afectivos) persistentes
lavish_hr_payroll.cie10_f38,F38,Otros trastornos del humor (afectivos)
lavish_hr_payroll.cie10_f39,F39,Trastorno del humor (afectivo) no especificado
lavish_hr_payroll.cie10_f40,F40,Trastornos fobicos de ansiedad
lavish_hr_payroll.cie10_f41,F41,Otros trastornos de ansiedad
lavish_hr_payroll.cie10_f42,F42,Trastorno obsesivo compulsivo
lavish_hr_payroll.cie10_f43,F43,Reaccion al estres grave y trastornos de adaptacion
lavish_hr_payroll.cie10_f44,F44,Trastornos disociativos (de conversion)
lavish_hr_payroll.cie10_f45,F45,Trastornos somatomorfos
lavish_hr_payroll.cie10_f48,F48,Otros trastornos neuroticos
lavish_hr_payroll.cie10_f50,F50,Trastornos de la ingestión de alimentos
lavish_hr_payroll.cie10_f51,F51,Trastornos no organicos del sueno
lavish_hr_payroll.cie10_f52,F52,Disfuncion sexual no ocasionada por trastorno ni enfermedad organicos
lavish_hr_payroll.cie10_f53,F53,Trastornos mentales y del comportamiento asociados con el puerperio no clasificados en otra parte
lavish_hr_payroll.cie10_f54,F54,Factores psicologicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte
lavish_hr_payroll.cie10_f55,F55,Abuso de sustancias que no producen dependencia
lavish_hr_payroll.cie10_f59,F59,Sindromes del comportamiento asociados con alteraciones fisiologicas y factores fisicos no especificados
lavish_hr_payroll.cie10_f60,F60,Trastornos especificos de la personalidad
lavish_hr_payroll.cie10_f61,F61,Trastornos mixtos y otros trastornos de la personalidad
lavish_hr_payroll.cie10_f62,F62,Cambios perdurables de la personalidad no atribuibles a lesion o enfermedad cerebral
lavish_hr_payroll.cie10_f63,F63,Trastornos de los habitos y de los impulsos
lavish_hr_payroll.cie10_f64,F64,Trastornos de la identidad de genero
lavish_hr_payroll.cie10_f65,F65,Trastornos de la preferencia sexual
lavish_hr_payroll.cie10_f66,F66,Trastornos psicologicos y del comportamiento asociados con el desarrollo y con la orientacion sexuales
lavish_hr_payroll.cie10_f68,F68,Otros trastornos de la personalidad y del comportamiento en adultos
lavish_hr_payroll.cie10_f69,F69,Trastorno de la personalidad y del comportamiento en adultos no especificado
lavish_hr_payroll.cie10_f70,F70,Retraso mental leve
lavish_hr_payroll.cie10_f71,F71,Retraso mental moderado
lavish_hr_payroll.cie10_f72,F72,Retraso mental grave
lavish_hr_payroll.cie10_f73,F73,Retraso mental profundo
lavish_hr_payroll.cie10_f78,F78,Otros tipos de retraso mental
lavish_hr_payroll.cie10_f79,F79,Retraso mental no especificado
lavish_hr_payroll.cie10_f80,F80,Trastornos especificos del desarrollo del habla y del lenguaje
lavish_hr_payroll.cie10_f81,F81,Trastornos especificos del desarrollo de las habilidades escolares
lavish_hr_payroll.cie10_f82,F82,Trastorno especifico del desarrollo de la funcion motriz
lavish_hr_payroll.cie10_f83,F83,Trastornos especificos mixtos del desarrollo
lavish_hr_payroll.cie10_f84,F84,Trastornos generalizados del desarrollo
lavish_hr_payroll.cie10_f88,F88,Otros trastornos del desarrollo psicologico
lavish_hr_payroll.cie10_f89,F89,Trastorno del desarrollo psicologico no especificado
lavish_hr_payroll.cie10_f90,F90,Trastornos hipercineticos
